timestamp,cpu_percent,ram_used_gb,ram_total_gb,ram_percent,torch_gpu_allocated_gb,torch_gpu_reserved_gb,torch_gpu_max_allocated_gb,nvml_gpu_used_gb,nvml_gpu_total_gb,nvml_gpu_util_percent,nvml_gpu_mem_util_percent,gpu_temp_c,gpu_power_w,run_name,phase,epoch,batch_idx,batch_time_sec,running_loss
1783909216.5760856,7.1,25.870441436767578,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,84,44,47,75.117,visual_convnext_tiny_16frames_balanced20k,train,1,840,0.2555356025695801,0.3053931213658431
1783909238.177189,7.2,25.853992462158203,1510.354694366455,2.5,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,86,46,47,74.41,visual_convnext_tiny_16frames_balanced20k,train,1,850,0.25522470474243164,0.31257560951624297
1783909277.4872046,7.1,25.63634490966797,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,73,37,47,73.845,visual_convnext_tiny_16frames_balanced20k,train,1,860,0.24173426628112793,0.3171979460030206
1783909288.0838335,7.2,25.859535217285156,1510.354694366455,2.4,0.5789175033569336,16.123046875,15.211073875427246,17.3408203125,80.0,99,48,50,115.973,visual_convnext_tiny_16frames_balanced20k,train,1,870,0.21999430656433105,0.32151331294041413
1783909360.4191542,7.1,27.361419677734375,1510.354694366455,2.5,0.5789179801940918,16.123046875,15.211073875427246,17.3408203125,80.0,0,0,44,72.459,visual_convnext_tiny_16frames_balanced20k,Validation epoch 1/3,1,0,0.09349942207336426,0.6398391723632812
1783909384.726152,7.1,27.256595611572266,1510.354694366455,2.5,0.5789179801940918,16.123046875,15.211073875427246,17.3408203125,80.0,32,14,46,231.968,visual_convnext_tiny_16frames_balanced20k,Validation epoch 1/3,1,10,0.08918356895446777,0.647401983087713
1783909411.3779666,7.0,27.27489471435547,1510.354694366455,2.5,0.5789179801940918,16.123046875,15.211073875427246,17.3408203125,80.0,0,0,45,281.342,visual_convnext_tiny_16frames_balanced20k,Validation epoch 1/3,1,20,0.04463362693786621,0.6506227765764508
1783909434.222282,7.1,27.1143798828125,1510.354694366455,2.5,0.5789179801940918,16.123046875,15.211073875427246,17.3408203125,80.0,76,35,47,283.037,visual_convnext_tiny_16frames_balanced20k,Validation epoch 1/3,1,30,0.006847381591796875,0.6499173564295615
1783909465.822235,7.1,27.158023834228516,1510.354694366455,2.5,0.5789179801940918,16.123046875,15.211073875427246,17.3408203125,80.0,35,16,45,264.176,visual_convnext_tiny_16frames_balanced20k,Validation epoch 1/3,1,40,0.0072574615478515625,0.6483488315489234
1783909500.9226055,7.0,27.190784454345703,1510.354694366455,2.5,0.5789179801940918,16.123046875,15.211073875427246,17.3408203125,80.0,0,0,45,314.346,visual_convnext_tiny_16frames_balanced20k,Validation epoch 1/3,1,50,0.007238149642944336,0.6487426009832644
1783909524.9229305,7.4,27.238143920898438,1510.354694366455,2.5,0.5789179801940918,16.123046875,15.211073875427246,17.3408203125,80.0,0,0,43,72.785,visual_convnext_tiny_16frames_balanced20k,Validation epoch 1/3,1,60,0.00687408447265625,0.6487333579141585
1783909551.8245926,7.2,27.384868621826172,1510.354694366455,2.5,0.5789179801940918,16.123046875,15.211073875427246,17.3408203125,80.0,37,18,43,71.965,visual_convnext_tiny_16frames_balanced20k,Validation epoch 1/3,1,70,0.00997781753540039,0.6499452725262709
1783909583.623462,7.1,27.542709350585938,1510.354694366455,2.6,0.5789179801940918,16.123046875,15.211073875427246,17.3408203125,80.0,0,0,45,326.623,visual_convnext_tiny_16frames_balanced20k,Validation epoch 1/3,1,80,0.0522923469543457,0.6490035351411796
1783909614.1230092,7.2,27.12490463256836,1510.354694366455,2.5,0.5789179801940918,16.123046875,15.211073875427246,17.3408203125,80.0,0,0,42,71.776,visual_convnext_tiny_16frames_balanced20k,Validation epoch 1/3,1,90,0.009558677673339844,0.6469975146618518
1783909636.923427,7.1,27.341358184814453,1510.354694366455,2.5,0.5789179801940918,16.123046875,15.211073875427246,17.3408203125,80.0,77,36,45,87.275,visual_convnext_tiny_16frames_balanced20k,Validation epoch 1/3,1,100,0.00669550895690918,0.6471611627257696
1783909669.1187973,7.1,27.270099639892578,1510.354694366455,2.5,0.5789179801940918,16.123046875,15.211073875427246,17.3408203125,80.0,12,7,42,72.386,visual_convnext_tiny_16frames_balanced20k,Validation epoch 1/3,1,110,0.05082511901855469,0.646647444716445
1783909697.3259904,7.0,27.446449279785156,1510.354694366455,2.5,0.5789179801940918,16.123046875,15.211073875427246,17.3408203125,80.0,38,18,42,69.943,visual_convnext_tiny_16frames_balanced20k,Validation epoch 1/3,1,120,0.052824974060058594,0.6460880563278829
1783909726.41953,7.1,27.412364959716797,1510.354694366455,2.5,0.5789179801940918,16.123046875,15.211073875427246,17.3408203125,80.0,0,0,42,72.218,visual_convnext_tiny_16frames_balanced20k,Validation epoch 1/3,1,130,0.04975771903991699,0.6448972862185413
1783909760.3199341,7.1,27.330219268798828,1510.354694366455,2.5,0.5789179801940918,16.123046875,15.211073875427246,17.3408203125,80.0,0,0,42,71.574,visual_convnext_tiny_16frames_balanced20k,Validation epoch 1/3,1,140,0.04657912254333496,0.6448239265604222
